run,wp,mode,outcome,steps,cost_usd,spec_format,class,resumes,judge_catches,rung,rollbacks
064,WP-254,run,SUCCESS,1,0.0084,prescribed,product,0,0,0
065,WP-255,run,SUCCESS,1,0.70,prescribed,product,0,0,0
066,WP-256,chain,FAILED,3,3.76,prescribed,meta,0,0,0
067,WP-256,chain,SUCCESS,2,2.51,prescribed,meta,0,0,0
068,WP-258,chain,SUCCESS,2,1.70,prescribed,meta,0,0,0
069,WP-257,chain,SUCCESS,3,2.73,prescribed,product,0,0,0
070,WP-261,chain,SUCCESS,2,1.98,prescribed,meta,0,0,0
071,WP-261,chain,SUCCESS,1,1.13,prescribed,meta,0,0,0
072,WP-233,run,SUCCESS,2,0.42,prescribed,product,0,0,0
073,WP-233,run,SUCCESS,1,0.75,prescribed,product,0,0,0
074,WP-264,run,SUCCESS,1,1.97,prescribed,product,0,0,0
075,WP-212,run,FAILED,3,3.85,loose,product,0,0,1
076,WP-213,run,FAILED,4,3.71,loose,product,0,0,0
077,WP-206,run,SUCCESS,1,3.79,loose,product,0,0,1
078,WP-250,chain,FAILED,1,2.80,loose,product,0,0,0
079,WP-204,chain,SUCCESS,4,4.36,loose,product,1,0,2
080,WP-205,run,SUCCESS,2,1.66,loose,product,0,0,1
081,WP-269,run,SUCCESS,1,2.99,loose,product,0,0,0
082,WP-219,run,SUCCESS,6,6.76,loose,product,1,0,3
083,WP-270,run,SUCCESS,3,4.09,loose,product,0,0,0
083b,WP-270,run,SUCCESS,3,2.58,loose,product,0,0,0
083c,WP-270,run,SUCCESS,4,3.02,loose,product,0,0,0,0
085,WP-215,run,SUCCESS,6,4.36,loose,product,0,0,3,0
086,WP-271,run,SUCCESS,4,5.72,loose,product,0,0,3,0
087a,WP-202,run,FAILED,3,2.46,loose,product,0,0,3,0
087,WP-202,run,SUCCESS,6,8.03,loose,product,0,0,3,0
088,WP-272,run,FAILED,6,9.10,loose,product,0,0,3,0
089,WP-105,run,SUCCESS,6,5.19,loose,product,0,0,4,0
090,WP-105,run,SUCCESS,5,4.94,loose,product,0,0,4,0
091,WP-251,run,FAILED,4,3.32,loose,product,0,0,0,0
092,WP-251,run,SUCCESS,4,2.93,loose,product,0,0,4,0
093,WP-251,run,SUCCESS,7,4.53,loose,product,0,0,4,0
094,rehearsal,run,SUCCESS,11,1.95,loose,meta,0,0,4,0
095,rehearsal,run,SUCCESS,11,1.77,loose,meta,1,0,4,0
096,WP-214,run,SUCCESS,11,15.70,loose,product,0,0,5,0
097,WP-307,run,SUCCESS,7,10.98,loose,product,0,1,4,1
098,WP-308,run,SUCCESS,8,15.81,loose,product,0,2,4,2
099,WP-308,run,SUCCESS,6,13.85,loose,product,0,0,4,0
100,WP-309,run,SUCCESS,6,15.57,loose,product,0,0,4,0
101,WP-310,run,SUCCESS,4,2.90,loose,product,0,0,4,0
102,WP-309,run,SUCCESS,7,11.25,loose,product,0,1,4,2
103,WP-311,chain,SUCCESS,3,4.46,loose,product,0,0,4,0
104,WP-521,chain,SUCCESS,6,5.51,loose,product,1,0,0,0
105,WP-521,chain,HALTED,8,8.92,loose,product,1,1,1,0
106,WP-532,chain,SUCCESS,4,5.55,loose,product,1,0,2,0
108,WP-530,bench,SUCCESS,1,0.65,loose,product,0,0,3,0
110,WP-302,bench,FAILED,3,2.35,loose,product,0,0,3,0
110,WP-302,bench,FAILED,3,2.71,loose,product,0,0,0,0
112,WP-533,bench,SUCCESS,2,1.85,loose,product,0,0,3,0
112,WP-533,bench,SUCCESS,1,0.86,loose,product,0,0,3,0
112,WP-535,run,SUCCESS,1,0.04,loose,product,0,1,0,0
bench-20260725,WP-535,bench,SUCCESS,11,0.00,loose,product,0,0,3,3
bench-20260725,WP-535,bench,SUCCESS,2,0.00,loose,product,0,0,3,0
113,WP-534,run,SUCCESS,1,0.05,loose,product,0,1,0,0
114,WP-538,run,SUCCESS,1,0.06,loose,product,0,0,0,0
115,WP-537,run,FAILED,4,0.1576,loose,product,0,1,0,0
116,WP-537,run,SUCCESS,1,0.0591,loose,product,0,1,0,0
117,WP-540,run,SUCCESS,2,0.1268,loose,product,0,0,0,0
118,WP-540,run,SUCCESS,1,0.0487,loose,product,0,0,0,0
119,WP-541,run,SUCCESS,1,0.04698625,loose,product,0,0,0,0
120,WP-302+WP-304,chain,FAILED,19,1.5187,loose,product,2,3,0,1
121,WP-302+WP-304,chain,FAILED,10,0.8869,loose,product,2,1,4,0
122,WP-302+WP-304,chain,FAILED,7,0.6545,loose,product,1,1,4,0
123,WP-304,run,SUCCESS,1,0.0457,loose,product,0,0,4,0
124,WP-303,run,SUCCESS,1,0.0442,loose,product,0,0,4,0
125,WP-593,run,FAILED,4,0.1899,loose,product,0,1,4,0
126,WP-595,run,SUCCESS,1,0.0469,loose,product,0,0,4,0
127,WP-596,run,SUCCESS,1,0.0472,loose,product,0,0,4,0
128,WP-597,run,SUCCESS,1,0.0425,loose,product,0,0,4,0
129,WP-598,run,SUCCESS,6,0.3634,loose,product,0,3,4,0
130,WP-600,run,SUCCESS,3,0.1447,loose,product,0,2,4,0
131,WP-602,run,SUCCESS,3,0.1899,loose,product,0,1,0,0
132,WP-605,run,SUCCESS,1,0.044,loose,product,0,0,0,0
133,WP-604,run,SUCCESS,3,0.1887,loose,product,0,1,0,0
134,WP-607,run,SUCCESS,1,0.0499,loose,product,0,0,0,0
135,WP-609,run,SUCCESS,4,0.2512,loose,product,0,1,0,0
136,WP-611,run,SUCCESS,1,0.105,loose,product,0,0,0,0
137,WP-612,run,SUCCESS,1,0.1095,loose,product,0,0,0,0
138,WP-615,run,SUCCESS,1,0.0814,loose,product,0,0,0,0
139,WP-303,run,SUCCESS,1,0.1048,loose,product,0,2,4,0
140,WP-619,run,SUCCESS,1,0.1326,loose,product,0,1,0,0
141,WP-601,run,FAILED,1,0.1036,loose,product,0,0,0,0
142,WP-608,run,FAILED,4,0.1846,loose,product,0,2,0,0
143,WP-623,run,SUCCESS,1,0.0851,loose,product,0,0,0,0
144,WP-625,run,FAILED,1,0.0831,loose,product,0,1,0,0
145,WP-627,run,FAILED,2,0.1651,loose,product,0,1,0,0
146,WP-629,run,SUCCESS,1,0.0906,loose,product,0,0,0,0
147,WP-594,run,SUCCESS,2,0.1229,loose,product,0,0,0,0
148,WP-630,run,SUCCESS,1,0.0808,loose,product,0,0,0,0
149,WP-616+WP-631,run,FAILED,3,0.2759,loose,product,0,1,0,0
